Date,Open,High,Low,Close,Adj Close,Volume
2011-09-16,15.180080,15.725098,14.929908,15.725098,15.415464,546519
2011-09-19,15.260493,15.993139,15.099668,15.403448,15.100148,720448
2011-09-20,15.546404,15.725098,14.027502,14.375956,14.092887,682730
2011-09-21,14.769083,15.537469,14.501042,14.795888,14.504551,830692
2011-09-22,14.027502,14.778018,13.527158,13.848808,13.576119,1116431
2011-09-23,13.830938,14.965647,13.553962,14.965647,14.670967,1189741
2011-09-26,15.180080,15.180080,14.349152,14.894169,14.600897,449258
2011-09-27,15.099668,15.331970,14.161523,14.286609,14.005300,572821
2011-09-28,14.295543,14.822692,13.804134,13.866677,13.593637,518763
2011-09-29,14.107914,14.429564,13.848808,14.107914,13.830124,424076
2011-09-30,14.107914,14.107914,12.919597,13.134031,12.875417,771597
2011-10-03,12.928532,12.928532,12.222690,12.222690,11.982020,1174967
2011-10-04,12.026126,12.043995,11.561521,11.909975,11.675463,1029355
2011-10-05,12.070799,12.472862,11.856366,12.338841,12.095884,3026397
2011-10-06,12.606882,12.892793,12.517535,12.776642,12.525064,845354
2011-10-07,12.803446,13.205508,11.963583,12.374580,12.130920,811777
2011-10-10,12.508600,13.044683,12.508600,12.865989,12.612653,456757
2011-10-11,12.767707,13.268051,12.517535,12.758772,12.507546,680827
2011-10-13,12.892793,13.080422,12.249494,12.410319,12.165956,1289017
2011-10-14,12.454992,13.026814,12.374580,12.955336,12.700240,668851
2011-10-17,12.794511,12.955336,12.463927,12.642621,12.393682,510256
2011-10-18,12.794511,12.955336,12.463927,12.642621,12.393682,510256
2011-10-19,12.776642,13.071488,12.651556,12.955336,12.700240,638856
2011-10-20,12.946402,13.393137,12.606882,12.874924,12.621411,1368146
2011-10-21,13.205508,13.384203,12.857054,13.026814,12.770311,710151
2011-10-24,13.196574,13.339529,13.053618,13.196574,12.936728,564763
2011-10-25,13.196574,13.196574,13.196574,13.196574,12.936728,0
2011-10-26,13.196574,13.196574,13.196574,13.196574,12.936728,0
2011-10-27,13.196574,13.196574,13.196574,13.196574,12.936728,0
2011-10-28,13.402072,14.152588,13.402072,13.830938,13.558601,1176086
2011-10-31,13.848808,13.848808,13.053618,13.098292,12.840382,1412580
2011-11-01,11.981452,12.195885,11.883170,12.035061,11.798086,1201940
2011-11-03,12.329906,12.374580,11.624064,11.767019,11.535322,1216490
2011-11-04,11.767019,11.945713,11.659803,11.802758,11.570357,641542
2011-11-07,11.909975,12.043995,11.302414,11.347088,11.123659,1304238
2011-11-08,11.391761,11.615129,11.213067,11.561521,11.333870,1038309
